City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
5,Mahebourg,MU,72.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
7,Bredasdorp,ZA,50.29,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
8,Kalmunai,LK,80.49,overcast clouds,7.4167,81.8167,VS Villa
9,Hilo,US,73.62,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
12,Nouadhibou,MR,73.38,clear sky,20.931,-17.0347,El Medina
13,Chuy,UY,61.56,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
18,Atuona,PF,77.56,few clouds,-9.8,-139.0333,Villa Enata
19,Basco,PH,84.04,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
21,Cape Town,ZA,58.08,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
22,Binzhou,CN,69.51,light rain,37.3667,118.0167,Hampton By Hilton Binzhou
23,Methoni,GR,71.22,overcast clouds,36.8197,21.7049,Methoni Beach Hotel
24,Vaini,TO,73.56,overcast clouds,-21.2,-175.2,Keleti Beach Resort
25,Port Elizabeth,ZA,57.09,few clouds,-33.918,25.5701,39 On Nile Guest House
26,Vao,NC,71.65,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
28,Abha,SA,66.45,clear sky,18.2164,42.5053,Abha Hotel
29,Tambilil,PH,77.7,overcast clouds,5.9622,124.6697,Wilfredo Sotto Home
30,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
31,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
32,Hithadhoo,MV,83.23,overcast clouds,-0.6,73.0833,Scoop Guest House
33,Kapaa,US,80.58,heavy intensity rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Nikolskoye,RU,50.4,clear sky,59.7035,30.7861,Tourist House - Sablino
37,San Policarpo,PH,81.43,moderate rain,12.1791,125.5072,Manong Aklan Resort
39,Bambous Virieux,MU,72.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
40,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
41,New Norfolk,AU,53.74,light rain,-42.7826,147.0587,The Shingles Riverside Cottages
44,Airai,TL,59.22,few clouds,-8.9266,125.4092,Juvinal Martin
45,Sola,VU,79.52,scattered clouds,-13.8833,167.55,Leumerus Bungalows
46,Gold Coast,AU,64.0,clear sky,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
