City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Lavrentiya,RU,65.5833,-171.0,23.27,71,16,3.83,few clouds
1,Aklavik,CA,68.2191,-135.0107,34.52,93,90,12.66,overcast clouds
2,Qaanaaq,GL,77.484,-69.3632,31.69,98,100,7.43,light snow
3,Saskylakh,RU,71.9167,114.0833,16.77,93,98,10.45,overcast clouds
4,Buraydah,SA,26.326,43.975,90.05,12,2,9.62,clear sky
5,Mahebourg,MU,-20.4081,57.7,72.25,88,75,13.8,broken clouds
6,Busselton,AU,-33.65,115.3333,42.08,67,87,3.58,overcast clouds
7,Bredasdorp,ZA,-34.5322,20.0403,50.29,87,13,0.0,few clouds
8,Kalmunai,LK,7.4167,81.8167,80.49,81,100,5.46,overcast clouds
9,Hilo,US,19.7297,-155.09,73.62,84,90,4.61,light rain
10,Ushuaia,AR,-54.8,-68.3,47.86,61,75,23.02,moderate rain
11,Tasiilaq,GL,65.6145,-37.6368,41.16,55,0,5.86,clear sky
12,Nouadhibou,MR,20.931,-17.0347,73.38,78,0,17.27,clear sky
13,Chuy,UY,-33.6971,-53.4616,61.56,55,26,12.21,scattered clouds
14,Lompoc,US,34.6391,-120.4579,97.11,45,1,4.61,clear sky
15,Punta Arenas,CL,-53.15,-70.9167,42.91,75,75,35.68,light intensity shower rain
16,Albany,US,42.6001,-73.9662,67.48,86,100,0.25,overcast clouds
17,Dikson,RU,73.5069,80.5464,34.79,98,100,23.38,light rain
18,Atuona,PF,-9.8,-139.0333,77.56,74,15,17.78,few clouds
19,Basco,PH,20.4487,121.9702,84.04,75,96,22.7,overcast clouds
20,Malatya,TR,38.5,38.0,59.05,45,0,11.5,clear sky
21,Cape Town,ZA,-33.9258,18.4232,58.08,55,20,12.66,few clouds
22,Binzhou,CN,37.3667,118.0167,69.51,97,100,6.6,light rain
23,Methoni,GR,36.8197,21.7049,71.22,63,100,5.86,overcast clouds
24,Vaini,TO,-21.2,-175.2,73.56,88,90,9.22,overcast clouds
25,Port Elizabeth,ZA,-33.918,25.5701,57.09,76,20,6.91,few clouds
26,Vao,NC,-22.6667,167.4833,71.65,90,0,2.84,clear sky
27,Saint George,US,37.1041,-113.5841,86.47,23,1,1.01,clear sky
28,Abha,SA,18.2164,42.5053,66.45,60,0,6.91,clear sky
29,Tambilil,PH,5.9622,124.6697,77.7,89,99,3.0,overcast clouds
30,Saint-Philippe,RE,-21.3585,55.7679,72.99,82,44,14.58,light rain
31,Georgetown,MY,5.4112,100.3354,81.9,87,20,5.01,few clouds
32,Hithadhoo,MV,-0.6,73.0833,83.23,75,86,16.98,overcast clouds
33,Kapaa,US,22.0752,-159.319,80.58,86,90,5.01,heavy intensity rain
34,Nikolskoye,RU,59.7035,30.7861,50.4,85,0,6.71,clear sky
35,Beringovskiy,RU,63.05,179.3167,38.55,99,100,4.23,overcast clouds
36,Ixtapa,MX,20.7,-105.2,87.22,58,20,4.61,few clouds
37,San Policarpo,PH,12.1791,125.5072,81.43,85,100,16.55,moderate rain
38,Caconde,BR,-21.5294,-46.6439,85.86,43,93,3.44,overcast clouds
39,Bambous Virieux,MU,-20.3428,57.7575,72.21,88,75,13.8,broken clouds
40,San Cristobal,VE,7.7669,-72.225,82.58,57,100,5.66,overcast clouds
41,New Norfolk,AU,-42.7826,147.0587,53.74,84,49,1.28,light rain
42,Itaituba,BR,-4.2761,-55.9836,91.56,62,40,2.84,scattered clouds
43,Pacific Grove,US,36.6177,-121.9166,93.16,50,1,3.0,clear sky
44,Airai,TL,-8.9266,125.4092,59.22,71,12,1.16,few clouds
45,Sola,VU,-13.8833,167.55,79.52,77,33,7.83,scattered clouds
46,Gold Coast,AU,-28.0,153.4333,64.0,88,8,8.05,clear sky
47,Rikitea,PF,-23.1203,-134.9692,73.38,64,20,17.83,few clouds
48,Leningradskiy,RU,69.3833,178.4167,17.1,84,96,4.63,overcast clouds
49,Cidreira,BR,-30.1811,-50.2056,67.95,84,100,8.37,overcast clouds
