City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Kaitangata,NZ,2021-10-01 01:35:42,-46.2817,169.8464,58.93,50,83,11.07
1,Port Elizabeth,ZA,2021-10-01 01:35:42,-33.918,25.5701,62.89,100,90,4.61
2,Saint-Augustin,CA,2021-10-01 01:35:43,51.226,-58.6502,46.94,92,100,24.99
3,Port Alfred,ZA,2021-10-01 01:31:08,-33.5906,26.891,60.62,91,2,10.87
4,Lahaina,US,2021-10-01 01:35:43,20.8783,-156.6825,84.2,88,18,9.91
5,Punta Arenas,CL,2021-10-01 01:35:44,-53.15,-70.9167,41.11,65,75,16.11
6,Vila Franca Do Campo,PT,2021-10-01 01:35:44,37.7167,-25.4333,70.2,90,28,2.75
7,Nemuro,JP,2021-10-01 01:35:44,43.3236,145.575,66.63,90,100,9.89
8,Clyde River,CA,2021-10-01 01:35:45,70.4692,-68.5914,33.71,73,100,8.9
9,Atuona,PF,2021-10-01 01:35:45,-9.8,-139.0333,78.13,73,3,17.29
10,Mataura,NZ,2021-10-01 01:35:46,-46.1927,168.8643,53.47,70,100,7.87
11,Kibre Mengist,ET,2021-10-01 01:35:46,5.8833,38.9833,59.95,96,100,1.05
12,Antigonish,CA,2021-10-01 01:32:50,45.6169,-61.9986,57.81,96,29,5.32
13,Arraial Do Cabo,BR,2021-10-01 01:34:08,-22.9661,-42.0278,69.4,87,99,8.19
14,Rincon,US,2021-10-01 01:34:32,32.296,-81.2354,76.12,87,40,3.44
15,Boguchany,RU,2021-10-01 01:35:47,58.3814,97.4531,40.3,73,100,4.32
16,Vaini,TO,2021-10-01 01:35:47,-21.2,-175.2,75.36,88,75,9.22
17,Thompson,CA,2021-10-01 01:33:46,55.7435,-97.8558,48.36,71,20,3.44
18,Mocuba,MZ,2021-10-01 01:35:48,-16.8392,36.9856,68.65,98,26,2.68
19,Isangel,VU,2021-10-01 01:33:21,-19.55,169.2667,78.91,69,100,19.57
20,Tuktoyaktuk,CA,2021-10-01 01:31:16,69.4541,-133.0374,32.0,69,20,2.3
21,Jamestown,US,2021-10-01 01:33:49,42.097,-79.2353,48.29,92,1,1.01
22,Puerto Leguizamo,CO,2021-10-01 01:35:48,-0.1934,-74.7819,72.95,94,95,2.08
23,Tiksi,RU,2021-10-01 01:35:49,71.6872,128.8694,31.75,65,100,3.91
24,Laguna,US,2021-10-01 01:35:49,38.421,-121.4238,86.23,21,1,0.0
25,Varhaug,NO,2021-10-01 01:35:49,58.6147,5.6457,52.9,86,100,27.54
26,Calahorra,ES,2021-10-01 01:33:31,42.3051,-1.9652,59.88,69,57,1.9
27,Albany,US,2021-10-01 01:30:50,42.6001,-73.9662,50.65,93,100,4.63
28,Hobart,AU,2021-10-01 01:35:28,-42.8794,147.3294,61.27,96,90,1.99
29,Shimoda,JP,2021-10-01 01:35:50,34.6667,138.95,68.36,92,100,35.88
30,Bluff,NZ,2021-10-01 01:35:50,-46.6,168.3333,53.8,77,51,23.4
31,Port Lincoln,AU,2021-10-01 01:35:51,-34.7333,135.8667,59.61,64,27,10.25
32,Sioux Lookout,CA,2021-10-01 01:35:51,50.1001,-91.917,70.18,94,40,0.0
33,Sitka,US,2021-10-01 01:35:51,57.0531,-135.33,51.69,66,90,19.57
34,Tailai,CN,2021-10-01 01:35:52,46.3833,123.4,51.37,42,0,10.11
35,Tasiilaq,GL,2021-10-01 01:35:52,65.6145,-37.6368,35.76,84,7,5.95
36,Camacha,PT,2021-10-01 01:35:52,33.0833,-16.3333,68.76,73,40,12.66
37,Mount Gambier,AU,2021-10-01 01:31:33,-37.8333,140.7667,55.31,94,90,21.85
38,Georgetown,MY,2021-10-01 01:35:53,5.4112,100.3354,84.13,83,20,5.01
39,Butaritari,KI,2021-10-01 01:35:53,3.0707,172.7902,81.93,75,22,11.3
40,Bouloupari,NC,2021-10-01 01:35:54,-21.8667,166.05,84.11,58,57,5.14
41,Abnub,EG,2021-10-01 01:35:54,27.2696,31.1511,71.82,60,0,13.27
42,Avarua,CK,2021-10-01 01:31:27,-21.2078,-159.775,80.65,69,20,12.66
43,Matagami,CA,2021-10-01 01:35:55,49.7502,-77.6328,46.51,93,75,2.3
44,Hilo,US,2021-10-01 01:35:55,19.7297,-155.09,81.28,92,90,3.44
45,Tahe,CN,2021-10-01 01:35:55,52.3333,124.7333,38.26,55,90,8.86
46,Mar Del Plata,AR,2021-10-01 01:35:56,-38.0023,-57.5575,55.87,63,0,3.0
47,Golden,US,2021-10-01 01:35:56,39.7555,-105.2211,57.97,73,75,0.0
48,Ushuaia,AR,2021-10-01 01:35:25,-54.8,-68.3,42.46,56,20,18.41
49,Chokurdakh,RU,2021-10-01 01:35:57,70.6333,147.9167,19.04,87,23,9.31
50,Vanino,RU,2021-10-01 01:35:57,49.0869,140.2543,58.96,42,49,4.92
51,Ushibuka,JP,2021-10-01 01:35:57,32.1906,130.0228,78.51,76,3,10.45
52,Iqaluit,CA,2021-10-01 01:35:58,63.7506,-68.5145,26.33,100,1,2.3
53,Barrow,US,2021-10-01 01:35:58,71.2906,-156.7887,30.22,74,90,10.36
54,Dicabisagan,PH,2021-10-01 01:35:58,17.0818,122.4157,86.94,66,99,1.9
55,Lompoc,US,2021-10-01 01:32:25,34.6391,-120.4579,81.21,57,1,8.05
56,Talnakh,RU,2021-10-01 01:35:59,69.4865,88.3972,29.71,97,100,3.04
57,Airai,TL,2021-10-01 01:33:12,-8.9266,125.4092,82.22,24,28,3.76
58,Hermanus,ZA,2021-10-01 01:35:59,-34.4187,19.2345,55.9,89,98,10.98
59,Bambanglipuro,ID,2021-10-01 01:36:00,-7.95,110.2833,80.65,72,98,7.38
60,Pakokku,MM,2021-10-01 01:36:00,21.3333,95.1,85.59,71,39,1.12
61,Ribeira Grande,PT,2021-10-01 01:36:01,38.5167,-28.7,71.38,84,13,1.99
62,Husavik,IS,2021-10-01 01:34:56,66.0449,-17.3389,40.91,83,100,20.87
63,Nanortalik,GL,2021-10-01 01:36:01,60.1432,-45.2371,37.44,68,0,3.47
64,Vestmanna,FO,2021-10-01 01:36:02,62.1564,-7.1664,47.32,93,75,10.36
65,Huarmey,PE,2021-10-01 01:36:02,-10.0681,-78.1522,65.03,84,74,8.75
66,Sao Filipe,CV,2021-10-01 01:31:52,14.8961,-24.4956,79.32,77,68,3.2
67,Vardo,NO,2021-10-01 01:36:02,70.3705,31.1107,47.52,69,93,15.46
68,Busselton,AU,2021-10-01 01:36:03,-33.65,115.3333,61.05,81,100,15.5
69,West Bay,KY,2021-10-01 01:36:04,19.3667,-81.4167,84.27,77,20,1.01
70,Qaanaaq,GL,2021-10-01 01:36:04,77.484,-69.3632,28.24,95,100,15.32
71,Leh,IN,2021-10-01 01:36:04,34.1667,77.5833,55.02,50,0,4.03
72,Kamaishi,JP,2021-10-01 01:36:05,39.2667,141.8833,67.15,88,100,11.45
73,East London,ZA,2021-10-01 01:36:05,-33.0153,27.9116,61.84,90,1,9.24
74,Yellowknife,CA,2021-10-01 01:35:44,62.456,-114.3525,48.42,100,75,8.05
75,Noumea,NC,2021-10-01 01:36:06,-22.2763,166.4572,82.0,99,24,16.4
76,Visby,SE,2021-10-01 01:36:06,57.6409,18.296,54.86,93,20,11.5
77,Pouso Alegre,BR,2021-10-01 01:36:06,-22.23,-45.9364,63.01,86,0,1.88
78,Hithadhoo,MV,2021-10-01 01:36:07,-0.6,73.0833,81.48,74,100,3.29
79,Launceston,AU,2021-10-01 01:36:07,-41.45,147.1667,70.61,71,40,5.01
80,Tura,IN,2021-10-01 01:32:34,25.5198,90.2201,78.66,74,83,1.14
81,Mahebourg,MU,2021-10-01 01:36:08,-20.4081,57.7,71.89,78,75,12.66
82,New Norfolk,AU,2021-10-01 01:36:08,-42.7826,147.0587,60.91,65,100,1.99
83,Lata,PT,2021-10-01 01:36:08,40.1629,-8.3327,59.81,83,100,2.17
84,Imbituba,BR,2021-10-01 01:36:09,-28.24,-48.6703,66.09,91,100,12.64
85,Tuatapere,NZ,2021-10-01 01:36:09,-46.1333,167.6833,53.82,63,84,11.52
86,Dikson,RU,2021-10-01 01:31:33,73.5069,80.5464,32.63,80,100,22.19
87,Port Blair,IN,2021-10-01 01:32:14,11.6667,92.75,83.34,77,36,10.13
88,West Wendover,US,2021-10-01 01:36:10,40.7391,-114.0733,63.61,16,1,3.44
89,Takaka,NZ,2021-10-01 01:34:09,-40.85,172.8,58.28,64,5,5.59
90,Padang,ID,2021-10-01 01:36:10,-0.9492,100.3543,75.25,78,100,2.48
